65,82,64,60
99,59,36,8
6,96,90,20
0,0,0,0
90,53,69,84
1,34,19,50
50,74,5,24
50,74,5,24
91,56,1,46
38,83,7,13
27,20,96,90
84,35,65,3
34,5,24,74
86,100,68,38
33,49,91,66
5,6,70,27
27,20,96,90
96,84,53,69
61,22,85,99
96,84,53,69
8,86,42,78
78,38,100,68
70,90,20,96
84,35,65,3
24,70,27,6
27,20,96,90
1,34,19,50
53,65,3,35
35,60,82,64
0,0,0,0
83,25,17,61
83,25,17,61
96,84,53,69
56,50,34,19
42,68,38,100
46,19,50,34
91,56,1,46
75,33,76,97
49,46,56,1
9,51,80,75
24,70,27,6
33,49,91,66
65,82,64,60
5,6,70,27
0,0,0,0
56,50,34,19
49,46,56,1
5,6,70,27
35,60,82,64
17,99,22,85
9,51,80,75
91,56,1,46
34,5,24,74
8,86,42,78
3,64,60,82
27,20,96,90
24,70,27,6
33,49,91,66
0,0,0,0
53,65,3,35
3,64,60,82
35,60,82,64
27,20,96,90
75,33,76,97
17,99,22,85
80,97,33,76
27,20,96,90
91,56,1,46
1,34,19,50
69,3,35,65
27,20,96,90
5,6,70,27
19,24,74,5
50,74,5,24
33,49,91,66
56,50,34,19
50,74,5,24
60,9,2,92
96,84,53,69
36,78,86,42
5,6,70,27
33,49,91,66
19,24,74,5
19,24,74,5
24,70,27,6
50,74,5,24
64,92,9,2
0,0,0,0
0,0,0,0
97,66,49,91
24,70,27,6
13,61,25,17
70,90,20,96
49,46,56,1
51,76,97,33
68,13,83,7
50,74,5,24
96,84,53,69
3,64,60,82
60,9,2,92
3,64,60,82
0,0,0,0
25,85,99,22
27,20,96,90
59,42,78,86
85,8,59,36
69,3,35,65
82,2,92,9
84,35,65,3
17,99,22,85
9,51,80,75
59,42,78,86
76,91,66,49
9,51,80,75
83,25,17,61
35,60,82,64
66,1,46,56
91,56,1,46
27,20,96,90
9,51,80,75
61,22,85,99
50,74,5,24
27,20,96,90
96,84,53,69
85,8,59,36
